,Unnamed: 0,subjectID,iTrial,video,action,condition,rating,rt,survey,nTrials,Index
143,125,4,5,tapPhone_do,tapPhone,do,4,6910,Tapping a phone like a 90 year old (in slow motion),29,125
144,124,4,4,drinkCup_do,drinkCup,do,3,5766,Fake drinking,29,124
145,123,4,3,openCan_far,openCan,far,3,7453,Attempting to open a can of juice with telekenesis,29,123
146,122,4,2,zipPlasticBag_do,zipPlasticBag,do,6,10237,Unzipping a semi-clear plastic bag,29,122
147,121,4,1,flipPage_far,flipPage,far,5,8037,Turning a page of the Bible,29,121
148,133,4,13,foldNapkin_absent,foldNapkin,absent,1,8190,Moving the forefinger back while the hands were loosely fisted,29,133
149,147,4,27,flickTrash_do,flickTrash,do,3,5438,Getting food/scraps off her area by flicking it to someone/somewhere else,29,147
150,597,5,27,eraseMark_absent,eraseMark,absent,1,5592,i don't know,29,597
151,571,5,1,crushBottle_far,crushBottle,far,3,28124,making a fist with their hand,29,571
152,596,5,26,pullTissue_far,pullTissue,far,7,5204,getting a tissue from the box,29,596
153,595,5,25,openGluestick_do,openGluestick,do,7,4463,taking the cap off of the chapstick,29,595
154,594,5,24,twistCube_far,twistCube,far,7,5544,imitating like they are playing with the rubics cube ,29,594
155,593,5,23,drinkMug_far,drinkMug,far,6,16065,imitating like they are holding the mug and drinking from it ,29,593
156,592,5,22,foldPaper_do,foldPaper,do,7,5525,folding a paper,29,592
157,591,5,21,tapPhone_far,tapPhone,far,7,7409,tapping on their phone,29,591
158,590,5,20,closeJar_do,closeJar,do,7,4664,opening a container,29,590
159,589,5,19,peelPostIt_absent,peelPostIt,absent,5,6560,opening a zipper,29,589
160,588,5,18,swipePhone_far,swipePhone,far,7,7552,swiping on their phone,29,588
161,587,5,17,pressRemote_do,pressRemote,do,7,4977,using the remote control,29,587
162,586,5,16,flipPage_absent,flipPage,absent,2,8969,showing one point and then another,29,586
163,585,5,15,zipPlasticBag_far,zipPlasticBag,far,6,6904,opening the zipper of the container,29,585
